Game_Id,Date,Home_Team,Away_Team,Season,Home_Score,Away_Score
1001,8/6/2022,Arsenal,Chelsea,2022-2023,2,1
1002,8/6/2022,Liverpool,Juventus,2022-2023,1,1
1003,8/6/2022,FC Bayern,R. Madrid,2022-2023,2,1
1004,8/6/2022,Barcelona,Man Utd,2022-2023,3,1
1005,8/13/2022,Juventus,Arsenal,2022-2023,1,2
1006,8/13/2022,Man Utd,Liverpool,2022-2023,1,1
1007,8/13/2022,R. Madrid,Barcelona,2022-2023,1,1
1008,8/13/2022,Chelsea,FC Bayern,2022-2023,1,2
1009,9/10/2022,Liverpool,Barcelona,2022-2023,1,2
1010,9/10/2022,Arsenal,Man Utd,2022-2023,3,1
1011,9/10/2022,FC Bayern,Juventus,2022-2023,2,1
1012,9/10/2022,Chelsea,R. Madrid,2022-2023,1,1
1013,10/1/2022,Juventus,R. Madrid,2022-2023,1,1
1014,10/1/2022,Arsenal,Liverpool,2022-2023,2,1
1015,10/1/2022,Chelsea,Man Utd,2022-2023,2,1
1016,10/1/2022,FC Bayern,Barcelona,2022-2023,1,1
1017,10/8/2022,Barcelona,Arsenal,2022-2023,1,1
1018,10/8/2022,Juventus,Chelsea,2022-2023,1,1
1019,10/8/2022,Man Utd,FC Bayern,2022-2023,1,2
1020,10/8/2022,R. Madrid,Liverpool,2022-2023,2,1
1021,10/29/2022,Man Utd,Juventus,2022-2023,1,1
1022,10/29/2022,Liverpool,FC Bayern,2022-2023,1,2
1023,10/29/2022,Barcelona,Chelsea,2022-2023,2,1
1024,10/29/2022,R. Madrid,Arsenal,2022-2023,1,1
1025,11/5/2022,Juventus,Barcelona,2022-2023,1,2
1026,11/5/2022,FC Bayern,Arsenal,2022-2023,1,1
1027,11/5/2022,Chelsea,Liverpool,2022-2023,1,1
1028,11/5/2022,R. Madrid,Man Utd,2022-2023,2,1
1029,12/31/2022,Man Utd,Barcelona,2022-2023,1,2
1030,12/31/2022,Juventus,Liverpool,2022-2023,1,1
1031,12/31/2022,Chelsea,Arsenal,2022-2023,1,2
1032,12/31/2022,R. Madrid,FC Bayern,2022-2023,1,1
1033,1/21/2023,R. Madrid,Chelsea,2022-2023,2,1
1034,1/21/2023,Juventus,FC Bayern,2022-2023,1,2
1035,1/21/2023,Man Utd,Arsenal,2022-2023,1,2
1036,1/21/2023,Barcelona,Liverpool,2022-2023,2,1
1037,1/28/2023,FC Bayern,Chelsea,2022-2023,2,1
1038,1/28/2023,Liverpool,Man Utd,2022-2023,1,1
1039,1/28/2023,Arsenal,Juventus,2022-2023,2,1
1040,1/28/2023,Barcelona,R. Madrid,2022-2023,2,1
1041,2/18/2023,Chelsea,Juventus,2022-2023,1,1
1042,2/18/2023,Liverpool,R. Madrid,2022-2023,1,1
1043,2/18/2023,Arsenal,Barcelona,2022-2023,1,1
1044,2/18/2023,FC Bayern,Man Utd,2022-2023,3,1
1045,2/25/2023,Chelsea,Barcelona,2022-2023,1,2
1046,2/25/2023,Juventus,Man Utd,2022-2023,2,1
1047,2/25/2023,FC Bayern,Liverpool,2022-2023,2,1
1048,2/25/2023,Arsenal,R. Madrid,2022-2023,2,1
1049,4/15/2023,Man Utd,Chelsea,2022-2023,1,1
1050,4/15/2023,Barcelona,FC Bayern,2022-2023,1,1
1051,4/15/2023,R. Madrid,Juventus,2022-2023,2,1
1052,4/16/2023,Liverpool,Arsenal,2022-2023,1,2
1053,4/29/2023,Man Utd,R. Madrid,2022-2023,1,2
1054,4/29/2023,Barcelona,Juventus,2022-2023,2,1
1055,4/29/2023,Arsenal,FC Bayern,2022-2023,1,1
1056,4/29/2023,Liverpool,Chelsea,2022-2023,1,1
