Game_Id,Team,Fouls,On Target,Possession,Shots,Yellow Cards,Date
54,Arsenal,14,6,47%,11,0,2019-05-04
58,Arsenal,10,7,44%,14,0,2019-08-10
165,Arsenal,12,5,57%,14,0,2021-05-01
212,Arsenal,10,1,41%,9,0,2022-01-29
276,Arsenal,16,3,45%,8,0,2024-04-20
298,Arsenal,17,3,41%,10,1,2024-11-02
341,Arsenal,17,1,48%,7,0,2025-08-16
37,Arsenal,15,5,50%,9,0,2019-01-05
106,Arsenal,11,6,54%,12,0,2020-04-18
152,Arsenal,9,6,47%,11,1,2021-01-02
221,Arsenal,10,5,43%,11,0,2022-04-30
242,Arsenal,10,2,49%,15,0,2023-11-04
290,Arsenal,12,8,51%,12,0,2024-09-14
372,Arsenal,15,7,58%,12,1,2025-12-27
21,Arsenal,16,2,47%,13,0,2018-11-10
74,Arsenal,10,4,48%,11,1,2019-11-02
113,Arsenal,9,8,56%,19,1,2020-08-08
179,Arsenal,10,7,54%,11,1,2021-09-11
280,Arsenal,10,6,55%,18,0,2024-05-04
323,Arsenal,13,4,48%,15,2,2025-01-25
354,Arsenal,12,6,48%,16,1,2025-11-01
41,Arsenal,8,13,47%,21,1,2019-01-26
100,Arsenal,14,4,39%,10,1,2020-01-25
126,Arsenal,6,9,46%,14,0,2020-10-03
205,Arsenal,12,6,48%,10,1,2022-01-22
229,Arsenal,12,5,54%,13,2,2023-08-19
282,Arsenal,18,6,50%,16,1,2024-08-10
384,Arsenal,13,4,58%,12,0,2026-02-21
45,Arsenal,11,3,49%,9,0,2019-02-23
67,Arsenal,10,4,49%,14,1,2019-09-14
162,Arsenal,8,4,48%,10,2,2021-04-17
216,Arsenal,8,6,53%,12,0,2022-02-19
254,Arsenal,13,7,54%,15,0,2023-12-09
331,Arsenal,16,6,53%,14,1,2025-04-19
364,Arsenal,14,3,60%,12,1,2025-11-29
1,Arsenal,15,10,49%,18,2,2018-08-11
110,Arsenal,6,4,49%,13,0,2020-05-02
134,Arsenal,11,6,52%,15,1,2020-11-07
169,Arsenal,15,4,60%,15,0,2021-08-07
261,Arsenal,15,5,49%,15,0,2024-01-06
310,Arsenal,14,4,56%,18,2,2024-12-07
347,Arsenal,13,5,64%,15,0,2025-09-13
9,Arsenal,12,2,46%,10,1,2018-09-15
89,Arsenal,9,4,45%,11,1,2019-12-28
148,Arsenal,13,3,51%,12,0,2020-12-26
182,Arsenal,18,4,51%,13,1,2021-10-02
248,Arsenal,17,6,50%,8,0,2023-11-11
336,Arsenal,12,7,55%,15,2,2025-05-03
377,Arsenal,9,4,52%,11,0,2026-01-24
28,Barcelona,14,7,56%,18,3,2018-12-01
86,Barcelona,17,7,57%,15,1,2019-12-07
137,Barcelona,22,8,53%,16,3,2020-11-28
187,Barcelona,12,4,51%,16,0,2021-10-30
238,Barcelona,13,4,55%,18,0,2023-10-07
325,Barcelona,8,4,52%,9,0,2025-02-22
365,Barcelona,16,9,68%,18,1,2025-12-06
10,Barcelona,18,7,52%,16,4,2018-09-15
61,Barcelona,13,6,55%,10,1,2019-08-17
143,Barcelona,10,8,53%,13,0,2020-12-05
219,Barcelona,10,3,53%,12,2,2022-04-16
232,Barcelona,7,4,48%,11,1,2023-08-19
312,Barcelona,13,6,52%,12,2,2024-12-07
363,Barcelona,12,4,57%,12,0,2025-11-29
47,Barcelona,20,5,53%,11,0,2019-02-23
84,Barcelona,12,1,51%,7,1,2019-11-30
159,Barcelona,10,7,56%,16,0,2021-02-20
170,Barcelona,15,4,52%,12,0,2021-08-07
234,Barcelona,15,2,53%,13,2,2023-09-16
291,Barcelona,9,5,52%,10,0,2024-09-14
378,Barcelona,15,4,48%,9,2,2026-01-24
23,Barcelona,15,6,52%,10,1,2018-11-10
109,Barcelona,16,5,60%,14,0,2020-05-02
117,Barcelona,18,2,44%,11,1,2020-08-15
223,Barcelona,14,7,60%,20,0,2022-04-30
251,Barcelona,15,3,46%,16,1,2023-12-02
333,Barcelona,10,4,55%,15,1,2025-05-03
356,Barcelona,16,3,52%,10,2,2025-11-01
4,Barcelona,11,3,54%,15,1,2018-08-11
76,Barcelona,17,6,54%,15,2,2019-11-02
149,Barcelona,15,10,59%,25,2,2021-01-02
207,Barcelona,10,1,38%,8,0,2022-01-22
269,Barcelona,5,6,50%,14,0,2024-02-24
324,Barcelona,11,5,49%,11,3,2025-01-25
383,Barcelona,11,6,54%,13,3,2026-02-21
38,Barcelona,8,8,52%,15,0,2019-01-05
68,Barcelona,14,5,54%,12,2,2019-09-14
125,Barcelona,12,6,53%,13,1,2020-10-03
189,Barcelona,13,6,51%,17,1,2021-11-06
255,Barcelona,8,5,56%,16,1,2023-12-09
281,Barcelona,9,2,47%,12,1,2024-08-10
337,Barcelona,13,7,53%,15,2,2025-08-09
42,Barcelona,17,9,57%,16,2,2019-01-26
99,Barcelona,12,4,52%,8,3,2020-01-25
131,Barcelona,17,5,53%,13,3,2020-10-31
203,Barcelona,14,6,53%,16,1,2022-01-01
266,Barcelona,13,5,52%,11,0,2024-01-27
302,Barcelona,9,2,48%,9,0,2024-11-09
348,Barcelona,10,6,52%,15,1,2025-09-13
7,FC Bayern,13,5,53%,17,0,2018-08-18
82,FC Bayern,4,5,52%,14,0,2019-11-30
124,FC Bayern,18,10,54%,17,0,2020-09-12
194,FC Bayern,6,7,49%,20,1,2021-11-27
268,FC Bayern,9,4,50%,13,0,2024-01-27
317,FC Bayern,12,7,55%,12,0,2025-01-04
339,FC Bayern,15,6,55%,13,0,2025-08-09
36,FC Bayern,11,6,48%,10,0,2018-12-29
92,FC Bayern,10,1,47%,7,1,2019-12-28
115,FC Bayern,15,3,47%,14,1,2020-08-08
184,FC Bayern,16,4,49%,14,1,2021-10-02
257,FC Bayern,12,4,42%,15,0,2023-12-30
287,FC Bayern,11,6,56%,11,1,2024-08-17
391,FC Bayern,14,4,48%,12,1,2026-05-02
31,FC Bayern,14,6,46%,12,0,2018-12-08
112,FC Bayern,15,7,55%,14,1,2020-05-02
145,FC Bayern,10,3,56%,12,0,2020-12-26
211,FC Bayern,17,8,47%,14,2,2022-01-29
227,FC Bayern,17,5,54%,14,1,2023-08-12
315,FC Bayern,8,4,49%,8,3,2024-12-28
345,FC Bayern,11,5,51%,11,0,2025-09-13
27,FC Bayern,12,6,57%,11,1,2018-12-01
75,FC Bayern,9,5,55%,11,1,2019-11-02
161,FC Bayern,18,4,59%,15,0,2021-04-17
178,FC Bayern,14,11,56%,15,1,2021-09-11
272,FC Bayern,8,3,51%,6,0,2024-02-24
326,FC Bayern,13,6,52%,14,0,2025-02-22
380,FC Bayern,9,8,56%,14,3,2026-01-24
24,FC Bayern,13,7,57%,9,2,2018-11-10
97,FC Bayern,11,3,50%,8,2,2020-01-25
136,FC Bayern,13,7,63%,19,2,2020-11-07
171,FC Bayern,5,7,53%,17,0,2021-08-07
240,FC Bayern,12,8,50%,12,3,2023-10-07
